Ward,Office,Party,Candidate,Total,Total Percentage
1,STATE AUDITOR,Republican,SCOTT FITZPATRICK,331,82.96%
1,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,68,17.04%
1,STATE AUDITOR,Democratic,QUENTIN WILSON,2046,64.12%
1,STATE AUDITOR,Democratic,GREGORY UPCHURCH,1145,35.88%
1,STATE AUDITOR,Libertarian,DUSTIN COFFELL,12,100.00%
1,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,188,47.47%
1,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,208,52.53%
1,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,146,3.73%
1,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,51,1.30%
1,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,1718,43.88%
1,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1965,50.19%
1,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,35,0.89%
1,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,11,100.00%
1,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,1422,45.36%
1,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,1713,54.64%
1,STATE REPRESENTATIVE DISTRICT 80,Republican,JENNIE DRAG,31,100.00%
1,STATE REPRESENTATIVE DISTRICT 80,Democratic,ELIZABETH (LILLY) FUCHS,253,100.00%
1,STATE REPRESENTATIVE DISTRICT 81,Democratic,TONY KIRCHNER,1120,33.06%
1,STATE REPRESENTATIVE DISTRICT 81,Democratic,AARON NATHANIEL CLITE,729,21.52%
1,STATE REPRESENTATIVE DISTRICT 81,Democratic,JAMES (JIMMY) LAPPE,1539,45.43%
1,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,3278,100.00%
1,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",2442,72.46%
